OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
37,37,34,067,LAFAYETTE,Lafayette,FL,140,4,0,14,18,21,16,17,22,17,11,0,0 to 118,53,72,62,6,140,0,0,10,129,0,12,0,6,134,0,0,140,5,1,0,0,2,4,0,6,0,0,2,1,0,1,1,0,0,1,0,19 to 98,37,6,0,0,0,1,5,0,1,0,1,0,0,0,6,4,2,6,0,0,320,0,326,320,6,0,0,0,1417838543.00769,193229.836834708,47
38,38,23,045,GULF,Gulf,FL,346,7,4,16,26,31,63,67,82,40,10,0,0 to 91,59,194,151,1,323,23,0,14,331,1,44,7,1,345,0,0,323,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,473,23,497,496,1,0,5,1,1469866107.27026,258929.917930346,42
39,39,63,125,UNION,Union,FL,1029,9,10,38,57,93,116,375,257,66,8,0,0 to 118,60,246,777,6,1029,0,0,13,1004,4,62,4,28,1001,0,0,1029,26,2,0,0,5,23,0,28,0,0,0,4,1,2,14,6,1,0,0,25 to 76,59,17,8,2,1,0,26,2,1,0,1,0,0,0,28,23,5,28,0,0,1643,0,1672,1643,28,0,10,8,646977045.561768,128178.538552252,55
40,40,4,007,BRADFORD,Bradford,FL,1204,15,20,103,160,142,180,223,148,117,91,5,0 to 118,53,762,423,19,1202,2,0,27,1135,34,143,1,50,1153,0,1,1201,11,39,0,0,41,9,0,50,0,2,3,2,7,4,3,6,12,11,0,8 to 107,72,45,4,1,0,0,50,0,4,0,11,0,0,2,50,9,41,50,0,0,1370,2,1423,1372,50,2,112,80,776744615.959412,167178.838252791,74
41,41,65,129,WAKULLA,Wakulla,FL,879,9,19,61,106,124,156,170,134,66,33,1,0 to 102,52,500,370,9,876,3,0,11,838,13,178,2,32,847,0,0,876,16,14,2,0,21,9,0,30,0,0,4,5,4,9,5,3,1,1,0,19 to 86,46,15,13,2,0,0,30,0,6,0,5,0,0,1,32,9,23,30,2,0,1106,1,1139,1107,32,1,76,21,1579533632.64177,279225.038340218,43
42,42,5,009,BREVARD,Brevard,FL,15087,203,265,787,1448,1646,2116,3404,3068,1592,406,152,0 to 119,58,8655,6342,90,15072,15,0,134,14782,107,342,71,376,14708,2,1,15069,326,39,9,2,192,173,0,365,2,6,34,43,47,58,81,49,34,22,0,1 to 99,54,270,56,17,22,57,285,23,91,2,54,2,0,11,376,176,200,365,11,0,17687,4,18075,17691,376,11,214,156,2687643838.87906,793218.333609179,53
43,43,53,105,POLK,Polk,FL,14100,326,312,991,1810,1822,2067,2273,2167,1401,595,336,0 to 119,52,8220,5707,173,14036,64,0,288,13065,231,843,125,822,13267,5,6,14025,667,145,9,1,505,307,0,812,2,11,64,112,113,122,125,103,93,77,0,3 to 103,53,481,177,96,58,196,529,87,324,6,246,2,0,46,822,310,512,812,10,0,15756,54,16666,15810,822,46,607,261,5206715917.89822,388118.956177661,56
44,44,49,097,OSCEOLA,Osceola,FL,10648,128,291,719,1481,1585,1769,1788,1290,641,234,722,0 to 109,49,5934,4649,65,10582,66,0,352,9665,390,674,186,640,9950,13,45,10525,562,34,42,2,308,288,0,596,6,14,45,98,100,120,111,81,50,15,0,0 to 102,49,299,55,236,6,357,206,33,225,6,148,6,2,18,640,321,318,596,44,0,11268,21,11943,11289,640,18,464,55,3899316052.50861,350452.549474464,50
45,45,28,055,HIGHLANDS,Highlands,FL,2543,41,31,114,273,238,304,414,512,429,169,18,0 to 119,61,1496,1021,26,2487,56,0,38,2425,47,99,16,110,2429,1,3,2483,89,20,1,0,53,56,0,109,1,3,7,15,13,13,27,14,16,1,0,0 to 85,55,61,25,20,3,35,65,9,44,1,35,1,0,8,110,57,53,109,1,0,3382,55,3552,3437,110,8,110,28,2866885704.30579,296636.719911829,56
46,46,36,071,LEE,Lee,FL,19151,208,238,1228,2231,2423,2807,3364,3336,2223,1041,52,0 to 119,56,11206,7769,176,18556,594,1,405,17350,613,1479,163,1585,17556,3,7,18547,1398,133,49,5,831,700,0,1531,12,16,101,175,219,255,250,221,169,167,0,0 to 101,55,973,260,38,260,345,894,292,504,14,355,13,4,88,1585,731,854,1530,54,1,20654,540,22786,21194,1585,88,1663,366,2112333669.17714,583283.842331616,54
